text,label,prediction
"very heavy dog, I'm tired",Normal,"Tiredness can sometimes be a symptom of depression, but this statement alone is not definitive. Given the brevity and the use of ""very heavy,"" which could indicate feeling weighed down, the sentiment leans towards:

Depression"
"I am working on a free project to help people who are alone or do not have supportive people around. Please let me know what phrases you would like to hear/read throughout the day. e.g. Hey, I am proud of you! Life has been hard and yet you are still here! you are a rock star! , you are worthy of love, taking your meds will make you feel better, going to bed earlier will make tomorrow easier etc etc. Positive Reinforcement only please. [Question] What Spoken/Text Positive Phrases &amp; Reminders would be helpful for you throughout the day via your phone or virtual assistant speaker?",Depression,Positive
"I just wanted to write this for anyone who has not heard this today. I am proud of you. I am glad you woke up another day and fought another battle. Please remember you are loveable, I know people have made you feel like you are not but you are. You deserve to be loved and cared for. I am sorry that people have not or you feel as though no matter how much people try it will not be enough. I just want you to think about how far you have gotten, how far you have made it. You made it through all that suffering and are still going! Have a wonderful day Hey everyone!",Depression,"Pride
Normal"
I am going to go apeshit on the next person I see that thinks they can treat me however the fuck they want. I fucking dare someone to try some shit. 1st prize is a knife to the face. going to Snap,Depression,Aggressive
"After three years of medication for my clinical depression, and anxiety i stopped last week. My life had been quite traumatic previously to this, lost a father, had crazy family problems and was not having the best high school experience. After 6 years in total (three before the meds), I am so proud of myself. 5 attempted suicides and the trips to the mental health hospital ward at least three times a year (I am a guy btw). I am finally happy. My family love me so much, even if it does not feel like it. For anyone out there feeling lonely, you always have someone to fall back on, does not have to be family but someone will always be there i promise xps. if you are being recommended to start taking some anti-depressants, i can promise you the reward is a lot better than the risk. Lots of love, Stay Safe I am finally happy",Depression,Proud
"So excited to get this going. I have been trying to get my psychologist to refer me but he kept wanting to try different meds (which I understand). But, finally I have a shot. A shot at not being miserable 24/7. I really hope ECT helps somewhat. Positive vibes only, I am sure it will work :) Got a referral for ECT!!",Depression,Hope
"I am stressing out bc I bought Going medieval on g2a and I saw that the reviews were pretty bad.. I have all these random games in my library that I do not want ruining the quality of my steam library. I do not want to delete the game though, but Id rather pay full price on steam than buy from this website again! I accidentally bought a game via g2a and cannot get a refund..",Depression,Stress
"Therapy for 3 years.Anitdepresantas for 1y.All that i learned that i do not want to be optimistic. I just cannot help but to consider optimism naive. I tried to be a happy person but it just felt like i am delaying the inevitable. Maybe i am depressed, maybe there is no help for me or maybe i do not want to get better. Who knows.I am just tired of trying.So i will live out my days and die.that is where we are all going anyways.English second language sry for grammar I am not depressed , I am just pessimistic.",Depression,Pessimistic
"I have been self-harm free for the past two days! (the longest I have been clean in the last month) i also have been talking to a really close friend that i cut contact with for awhile and it feels nice to talk to him again. just in general I am doing good and even though I have only felt like this for two days I am just proud of myself and having a good time. so yea this is just like a reverse vent thing idk, i know those two accomplishments are not super big but i feel ok for the first time in a little while and i think this is the road to making progress in really getting better. hi just want to share how proud of myself i am :)",Depression,"Proud

Normal"
"I have always been prone to catastrophizing and only ever anticipating the worst. Last year, I had attempted suicide and wound up in a coma for two days. But lately, I have been feeling like I cannot understand why I would do that. I am excited about where life can take me and when I deal with something tough I feel this trust that it will resolve itself. I have been raised within a fundamental Christian household and been taught that only people with faith can achieve such a mindset and religion has always made me unhappy and that inadvertently felt guilt for that. I was in an unhealthy relationship back then and I felt like I really did not know who I was outside of that relationship. I have always wanted that mans validation and he dumped I remember hurting but since that relationship ended I have been making connections that have made me feel whole and I have come to accept that people come and go and I am completely okay with that. It felt like the past years have been completely traumatic and strangely enough I have been thinking about changing my name because I feel like my birth name is loaded with so much trauma I want treat that person like its someone else. I have been feeling this way more recently, I do not want my trauma to influence my decision, I just want to experience life as a new person. Is it optimism or denial",Depression,Optimism
I could easily see myself losing my job due to consolidation. In the meantime I have been wanting to leave this job anyway because I realized that I'm truly ready to move on from retail. I've had some promising leads but I found and a piece for a job that is at a lighting company that would combine the best of what I went to school for and my real world work experience. I got a call a few days ago but couldn't get an interview scheduled because during the call the hr lady got an email that the person I would interview with would be unavailable and I didn't have my work schedule right in front me so we decided to talk again the next day once we both had an idea of what the schedules for each side would be. Well the next day I called her and she still hadnt heard back from the person I would interview with and promised to call me the next day.,Normal,Anxiety
"he might relax, but it makes me nervous.",Normal,"Nervousness
Depression"
"i'm tired,",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could also simply indicate general fatigue. 

Normal"
Aspiring to be as happy as @BlacYoungstaFB in every aspect of life,Normal,Aspirational
"@thesouthernstar ochie, kmaren nervous ya pas TU? Kliatan tau, pas aku dtg aku ngeliat ochie lg maen2in tisu sampe tisu'y lecek..",Normal,Nervous
yeah so i got an job interview tomorrow and im pretty anxious about it ha anyone got some advice on how to prepare for it it should be good tho it just that im not sure if i will like it and im afraid to have no small talk topic with the employer yk that it gon na be awkward and shit,Depression,Anxiety
so i had a doctor s appointment on a school day and i wa so anxious about missing day of school i wa cry because i would miss stuff that day and wa anxious about being behind on my work because my grade are expected to stay the same and not drop is this anxiety or just pressure put on me,Depression,Anxiety
im so tired,Depression,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal"
i m sooo sad they killed off kutner on house whyyyyyyyy,Normal,Sadness
mad tired today callin it in early tonight nighty night twittas,Normal,Tired
just watched tropic thunder dreading tomorrow,Normal,Dreading
michigan state you make me sad,Normal,Sadness
getting annoyed easily today gt gt gt biofuel proposal getting annoyed easily today gt gt gt biof http tinyurl com ceprvs,Normal,Annoyed
clarianne april 9th isn t coming soon enough,Normal,Anticipation
i should be sleeping i have a stressed out week coming to me,Normal,Stressed
carmonium i m stressed outttt,Normal,Stressed
wtf not kutner oh i m so pissed house i mean really wtf,Normal,Pissed
aww this earthquake in italy ha made me sad just saw the pic on the news it s terrible,Normal,Sadness
sad about kutner being killed off my fav show house,Normal,Sadness
can t believe cutner is dead on house sad day in santa rosa ca http loopt u orpl a,Normal,Sadness
j stricko i found it pretty frustrating stupid monkey,Normal,Frustration
and they advertising fake louis bag a 00 authentic on google i m pissed,Normal,"Pissed

Classification: Normal

Note: While the sentiment expressed is clearly negative (frustrated or angry), the language used does not strongly indicate clinical depression. It reflects more immediate frustration or irritation."
i am bored nothing to do,Normal,"Boredom
Depression"
i am soooo tired work,Normal,"Tiredness can be a normal feeling, but in this context, it could also be an indicator of depression. Given the limited information, I would classify it as:

Normal"
sitting at home and im very bored keep hearing really weird noise downstairs kinda creepy,Normal,Boredom
tired but cant sleep,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, it could also indicate normal fatigue. However, the phrase ""but can't sleep"" might suggest an inability to cope with emotions, which is more aligned with depressive symptoms. 

Depression"
in work sooo bored,Normal,Boredom
bored from doing homework what is pingping doing,Normal,Boredom
devakishor oh oh that s sad,Normal,Sadness
it s so boring,Normal,Boredom
cufa getting lot of dentist time myself at the moment very stressfull and sore take it nice and easy for the rest of the day,Normal,Stressful
gloomy weather again,Normal,Gloomy
masha is alone and sad http apps facebook com catbook profile view 0 0,Normal,Sadness
moony 9 i think i will be even more in denial after i watch,Normal,Denormalized
sitting at home watching jeremy kyle and bored,Normal,Boredom
hubby ha such a tight scedule for u during easter vaca that it stressing me out visit all over denmark in day,Normal,Stress
i m so damn tired today actually i need to take a nap when i m at home but there s no time,Normal,Tiredness
just woke up tiresome time,Normal,"Tiredness
Normal"
is frustrated that rudd cant facilitate private enterprise investing in our broadband infrastructure instead he need to waste our money,Normal,Frustration
bored in tec,Normal,"Boredom can be a symptom of depression, but it can also be a normal emotion. Without more context, it's difficult to determine if this reflects a normal state or depression. Given the limited information, I would lean towards:

Normal"
chrisdjmoyles didnt get ticket live in mk gutted xx,Normal,"Gutted suggests disappointment rather than depression. 

Normal"
work is dragging pretty tired only got about and a half hour sleep,Normal,"Tiredness
Normal"
is back in byron bay cafe fresh missing all my melbourne friend,Normal,Missing
ollyog well not far from the station by the look of it just head there i m actually jealous would love to be in belgium right now,Normal,Jealousy
pissed coz a friend is to busy to see me day,Normal,"Pissed

Depression

Note: While the immediate sentiment expressed is ""pissed,"" which indicates frustration or anger, the context suggests a potential underlying theme of loneliness or disappointment, which can be associated with depression. However, without more context, the primary classification based on the immediate sentiment is ""Pissed."""
pissed coz a friend is too busy to see me day,Normal,"Pissed

Depression

Note: While the immediate sentiment expressed is ""pissed,"" which indicates frustration or anger, the context suggests a sense of neglect and possibly loneliness, which can be indicative of depression. However, a single post might not fully capture the depth of someone's mental state, and this classification should be taken with caution."
hi twiitters i ammm sooooo tired right nowwww falling asleep on msn i am thinking a le lazy day today p xx,Normal,Tired
i am really tired but cant go to sleep,Normal,Tiredness
http twitpic com y i miss thiss,Normal,Missed
http twitpic com y i miss this,Normal,Missed
is in pain after having her brace tightened,Normal,"Pain
Normal"
study history of music bored help me please,Normal,"Boredom
Normal"
ughhhhhhhhhh twitter is bing sooooo retarded,Normal,Negative
why isn t the hill available online yet soo disappointing,Normal,Disappointment
