text,label,prediction,normalized_label
it's still early but already tired,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, we should consider it could also reflect a busy schedule or fatigue from other causes. 

Normal",mixed
"Yes, I'm frustrated with these 3 small ones, I'm tired",Normal,Frustration,invalid
A bit pessimistic actually hehe,Normal,Pessimistic,mixed
STRESSS SONG,Normal,Stress,normal
"I'm so bored of the tv in the office, just set the meter to the tv first",Normal,Boredom,invalid
It's so annoying!! !,Normal,Annoyed,normal
Drowsykkkkkkkk arhhhhhhhh,Normal,Drowsy,invalid
KWWKKWKW YAALLAH TIRED FROM YESTERDAY BENJI LAUGHTER,Normal,"Tired

Depression

The post shows signs of fatigue and possibly frustration, which could indicate depression. However, without more context, it's important to note that feeling tired can also be normal. The repetition of ""KWWKKWKW"" and ""YAALLAH"" might suggest exasperation or a lack of energy to express oneself normally.",mixed
JY!P3 CHINGA TU MADRE,Normal,Anger,invalid
'€ð ''ð 'Ÿð 'Ÿð '¦-ð '—ð 'Žð '›ð ''..big deals huft confused about yeri or nana,Normal,Confused,invalid
I'm jealous of people who have started their day off today,Normal,"Jealousy can be a normal emotion, but in this context, it might indicate a sense of envy or dissatisfaction that could be associated with depression. Given the limited information, I would classify this as:

Depression",mixed
NERVOUS,Normal,"Nervousness can be a symptom of depression, but it can also be a normal emotional response to stress or anxiety. Without more context, it's difficult to determine if this is indicative of depression. However, based on the instruction to classify as either Normal or Depression and given the brevity, I would lean towards:

Depression",mixed
Tired eh tired,Normal,"Tired

Normal",normal
"when is this guy on vacation, I'm so tired",Normal,"Tiredness doesn't necessarily indicate depression, but the context is limited. Normal",mixed
oh my god it's stressful,Normal,Stressful,normal
"I'm so tired, oh my God",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could also simply indicate general fatigue. 

Normal",mixed
"tired, just opened twt, mahen is still buzzing on tl",Normal,Tired,normal
"If you remember when you were in elementary school, it used to be really fun, playing chase, playing baseball, I really wanted to be in Geraldos' group because he threw it so far, then there was monkey love haha. When I remember that, I feel like I want to go back to elementary school where all I can think about is ""what are you playing today""....",Normal,Nostalgia,normal
Tired but must be enjoyed ™‚,Normal,"Tiredness can sometimes be a sign of depression, but this phrase also suggests resignation or acceptance. Given the context, it leans more towards a normal sentiment rather than clinical depression. 

Normal",normal
I'm just angry,Normal,Anger,invalid
Tired.,Normal,"Tiredness can be a symptom of depression, but it can also be a result of many other factors. Given the brevity, we cannot make a definitive classification. However, if we must choose based on the provided options:

Normal",invalid
Now I feel how people are stressed about this stupid pkp. Urgh,Normal,Stressed,normal
I'm stressed about this law school '†,Normal,Stress,normal
"Panic! Still in the stomach, there's already a lot of behavior",Normal,"Panic

Depression

Normal

Classification: Panic

Given the text, it seems to express feelings of anxiety and distress, which align more closely with panic rather than depression or normal sentiment. However, the context is limited, and without more information, it's challenging to definitively classify it. If forced to choose between the options provided, ""Panic"" would be the most fitting.",invalid
confused what to do,Normal,Confused,invalid
I'm getting more and more stressed ™ƒ,Normal,Stress,normal
"btw, I'm on both accounts, I'm tired of going back and forth",Normal,Tired,normal
I also want to wait. Tired like this,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""I also want to wait"" could indicate a sense of resignation or hopelessness. Given the context, the sentiment leans towards:

Depression",mixed
"very heavy dog, I'm tired",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the use of ""very heavy,"" which could indicate feeling weighed down, the classification leans towards:

Depression",mixed
"Hello everyone I am sorry for this question but I honestly feel curious on why people get depressed, what caused it, and last but not least why cannot some people treat it?I know it is a bit too rude to ask this but if I never ask I would never learn so again sorry for this post. What caused you to be depressed?",Depression,Curious,invalid
"No matter if you are here because you have depression or you just want to help other depressive people, I wanted to give you a hug and tell you, do not ever give up. I know you can achieve a slighty better future or even a perfect one, never give up Keep on trying to achieve something bigger, I am proud of you for trying! Just wanted to say this",Depression,Proud,normal
"I am working on a free project to help people who are alone or do not have supportive people around. Please let me know what phrases you would like to hear/read throughout the day. e.g. Hey, I am proud of you! Life has been hard and yet you are still here! you are a rock star! , you are worthy of love, taking your meds will make you feel better, going to bed earlier will make tomorrow easier etc etc. Positive Reinforcement only please. [Question] What Spoken/Text Positive Phrases &amp; Reminders would be helpful for you throughout the day via your phone or virtual assistant speaker?",Depression,Positive,normal
"I just wanted to write this for anyone who has not heard this today. I am proud of you. I am glad you woke up another day and fought another battle. Please remember you are loveable, I know people have made you feel like you are not but you are. You deserve to be loved and cared for. I am sorry that people have not or you feel as though no matter how much people try it will not be enough. I just want you to think about how far you have gotten, how far you have made it. You made it through all that suffering and are still going! Have a wonderful day Hey everyone!",Depression,"Pride
Normal",normal
I am going to go apeshit on the next person I see that thinks they can treat me however the fuck they want. I fucking dare someone to try some shit. 1st prize is a knife to the face. going to Snap,Depression,Aggressive,invalid
"I have been trying to drop hints that I need to see someone professional and she finally asked if I would be interested in seeing a psychiatrist, I think Ill finally be on a road to being better My Mom Finally asked if I want help",Depression,Hopeful,normal
"After dwelling inside and not leaving my house for over 3 weeks, I went out walking at this nice summer night, and as I got home, I felt incredible euphoria, peaking around a few minutes ago and slowly fading away now. All of the loneliness and anxieties and pain are about 80% decreased and I am actually filled with a feeling of motivation and momentum, something I have not felt in a very long time. This is honestly the happiest I have been this entire year I believe. I just got high from a walk outside.",Depression,"Euphoria

Classification: Normal

Note: While the sentiment expressed is euphoric and positive, the mention of using substances to achieve such feelings could be a red flag for underlying issues. However, based solely on the provided text, the primary sentiment appears to be one of relief and happiness after a period of isolation.",normal
"So excited to get this going. I have been trying to get my psychologist to refer me but he kept wanting to try different meds (which I understand). But, finally I have a shot. A shot at not being miserable 24/7. I really hope ECT helps somewhat. Positive vibes only, I am sure it will work :) Got a referral for ECT!!",Depression,Hopeful,normal
"I am stressing out bc I bought Going medieval on g2a and I saw that the reviews were pretty bad.. I have all these random games in my library that I do not want ruining the quality of my steam library. I do not want to delete the game though, but Id rather pay full price on steam than buy from this website again! I accidentally bought a game via g2a and cannot get a refund..",Depression,Stress,normal
"Therapy for 3 years.Anitdepresantas for 1y.All that i learned that i do not want to be optimistic. I just cannot help but to consider optimism naive. I tried to be a happy person but it just felt like i am delaying the inevitable. Maybe i am depressed, maybe there is no help for me or maybe i do not want to get better. Who knows.I am just tired of trying.So i will live out my days and die.that is where we are all going anyways.English second language sry for grammar I am not depressed , I am just pessimistic.",Depression,Pessimistic,mixed
"I have been self-harm free for the past two days! (the longest I have been clean in the last month) i also have been talking to a really close friend that i cut contact with for awhile and it feels nice to talk to him again. just in general I am doing good and even though I have only felt like this for two days I am just proud of myself and having a good time. so yea this is just like a reverse vent thing idk, i know those two accomplishments are not super big but i feel ok for the first time in a little while and i think this is the road to making progress in really getting better. hi just want to share how proud of myself i am :)",Depression,"Proud

Normal",normal
"I have always been prone to catastrophizing and only ever anticipating the worst. Last year, I had attempted suicide and wound up in a coma for two days. But lately, I have been feeling like I cannot understand why I would do that. I am excited about where life can take me and when I deal with something tough I feel this trust that it will resolve itself. I have been raised within a fundamental Christian household and been taught that only people with faith can achieve such a mindset and religion has always made me unhappy and that inadvertently felt guilt for that. I was in an unhealthy relationship back then and I felt like I really did not know who I was outside of that relationship. I have always wanted that mans validation and he dumped I remember hurting but since that relationship ended I have been making connections that have made me feel whole and I have come to accept that people come and go and I am completely okay with that. It felt like the past years have been completely traumatic and strangely enough I have been thinking about changing my name because I feel like my birth name is loaded with so much trauma I want treat that person like its someone else. I have been feeling this way more recently, I do not want my trauma to influence my decision, I just want to experience life as a new person. Is it optimism or denial",Depression,Optimism,normal
"he might relax, but it makes me nervous.",Normal,"Nervousness
Depression",mixed
"i'm tired,",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal",normal
"@thesouthernstar ochie, kmaren nervous ya pas TU? Kliatan tau, pas aku dtg aku ngeliat ochie lg maen2in tisu sampe tisu'y lecek..",Normal,Nervous,invalid
yeah so i got an job interview tomorrow and im pretty anxious about it ha anyone got some advice on how to prepare for it it should be good tho it just that im not sure if i will like it and im afraid to have no small talk topic with the employer yk that it gon na be awkward and shit,Depression,Anxiety,normal
so i had a doctor s appointment on a school day and i wa so anxious about missing day of school i wa cry because i would miss stuff that day and wa anxious about being behind on my work because my grade are expected to stay the same and not drop is this anxiety or just pressure put on me,Depression,Anxiety,normal
im so tired,Depression,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal",normal
i m sooo sad they killed off kutner on house whyyyyyyyy,Normal,Sadness,depression
is pissed off that there s no asba s for a radio station,Normal,PissedOff,invalid
just watched tropic thunder dreading tomorrow,Normal,Dreading,invalid
getting annoyed easily today gt gt gt biofuel proposal getting annoyed easily today gt gt gt biof http tinyurl com ceprvs,Normal,"Annoyed

Depression",mixed
clarianne april 9th isn t coming soon enough,Normal,Anticipation,invalid
i should be sleeping i have a stressed out week coming to me,Normal,Stressed,normal
is at beso in hollywood so tired,Normal,"Tiredness doesn't necessarily indicate depression, but the context and tone could suggest the person is overwhelmed or stressed. Given the limited information, I would classify this as:

Normal",invalid
carmonium i m stressed outttt,Normal,Stressed,normal
wtf not kutner oh i m so pissed house i mean really wtf,Normal,Pissed,invalid
contactabe i m so jealous i missed all of opening day this year,Normal,"Jealousy

Classification: Normal",invalid
aww this earthquake in italy ha made me sad just saw the pic on the news it s terrible,Normal,Sadness,depression
sad about kutner being killed off my fav show house,Normal,Sadness,depression
can t believe cutner is dead on house sad day in santa rosa ca http loopt u orpl a,Normal,Sadness,depression
j stricko i found it pretty frustrating stupid monkey,Normal,Frustration,normal
and they advertising fake louis bag a 00 authentic on google i m pissed,Normal,"Pissed

Classification: Normal

Note: While the sentiment expressed is clearly negative (pissed), the text does not strongly indicate symptoms of depression such as hopelessness, loss of interest in activities, or thoughts of suicide. It appears to be more about frustration with advertising.",normal
i am bored nothing to do,Normal,"Boredom
Depression",mixed
this break my heart navy seal marcus luttrell s doggy http www rightpundits com p 9 i am filled with rage,Normal,Rage,invalid
i am soooo tired work,Normal,"Tiredness can be a normal feeling, but in this context, it could also indicate depression. Given the limited information, I would classify it as:

Normal",mixed
sitting at home and im very bored keep hearing really weird noise downstairs kinda creepy,Normal,Boredom,invalid
tired but cant sleep,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal",normal
in work sooo bored,Normal,"Boredom can be a normal feeling, but in this context, it might indicate a need for engagement or stimulation. Given the repetition and capitalization, it could also suggest frustration. 

Normal",mixed
bored from doing homework what is pingping doing,Normal,Boredom,normal
devakishor oh oh that s sad,Normal,Sadness,depression
it s so boring,Normal,"Boredom can be a normal emotion, but in this context, it might indicate a depressive state if it's frequent or accompanied by other symptoms. Given the instruction to respond with a single word, I'll classify it based on the provided options:

Depression",mixed
cufa getting lot of dentist time myself at the moment very stressfull and sore take it nice and easy for the rest of the day,Normal,Stressful,normal
gloomy weather again,Normal,Gloomy,depression
masha is alone and sad http apps facebook com catbook profile view 0 0,Normal,Sadness,depression
moony 9 i think i will be even more in denial after i watch,Normal,Denormalized,invalid
sitting at home watching jeremy kyle and bored,Normal,"Boredom can sometimes be a sign of depression, but based on the brief text provided, it seems more like a description of current feelings rather than indicative of a broader mental health issue. 

Normal",normal
hubby ha such a tight scedule for u during easter vaca that it stressing me out visit all over denmark in day,Normal,Stress,normal
i m so damn tired today actually i need to take a nap when i m at home but there s no time,Normal,Tiredness,invalid
just woke up tiresome time,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the limited context, I would classify this as:

Normal",invalid
is frustrated that rudd cant facilitate private enterprise investing in our broadband infrastructure instead he need to waste our money,Normal,Frustration,normal
bored in tec,Normal,"Boredom can be a symptom of depression, but it can also be a normal emotion. Without more context, it's difficult to determine if this is indicative of depression. However, since the task is to classify it as either Normal or Depression, and considering the brevity and the specific term ""bored"" which can sometimes indicate a lack of engagement or motivation, I would lean towards:

Depression",mixed
chrisdjmoyles didnt get ticket live in mk gutted xx,Normal,"Gutted suggests disappointment rather than depression. 

Normal",normal
work is dragging pretty tired only got about and a half hour sleep,Normal,"Tiredness
Normal",normal
is back in byron bay cafe fresh missing all my melbourne friend,Normal,Missing,invalid
pissed coz a friend is to busy to see me day,Normal,"Pissed

Depression

Normal

Depression",mixed
pissed coz a friend is too busy to see me day,Normal,"Pissed

Depression

Note: While the immediate sentiment expressed is ""pissed,"" which indicates frustration or anger, the context suggests a sense of being neglected, which can be indicative of depression. However, without more context, the primary classification based on the immediate emotion is ""Pissed.""",mixed
hi twiitters i ammm sooooo tired right nowwww falling asleep on msn i am thinking a le lazy day today p xx,Normal,"Tired

Classification: Normal

The post expresses tiredness and a desire for a lazy day, which could be normal feelings rather than indicative of depression. However, without more context, it's challenging to definitively rule out depression, but based solely on this statement, it leans towards a normal sentiment.",invalid
i am really tired but cant go to sleep,Normal,Tiredness,invalid
http twitpic com y i miss thiss,Normal,Missed,invalid
so bored still no internet at home,Normal,"Boredom
Normal",normal
http twitpic com y i miss this,Normal,Missed,invalid
is in pain after having her brace tightened,Normal,"Pain
Normal",mixed
study history of music bored help me please,Normal,"Boredom
Normal",normal
ughhhhhhhhhh twitter is bing sooooo retarded,Normal,Negative,invalid
