text,label,prediction,normalized_label
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed,normal
it's still early but already tired,Normal,"Tiredness can be a symptom of depression, but this statement alone is not definitive. The sentiment here is more aligned with general fatigue rather than clinical depression. 

Normal",normal
A bit pessimistic actually hehe,Normal,Pessimistic,mixed
STRESSS SONG,Normal,Stress,normal
"I'm so bored of the tv in the office, just set the meter to the tv first",Normal,Boredom,normal
It's so annoying!! !,Normal,Annoyed,normal
KWWKKWKW YAALLAH TIRED FROM YESTERDAY BENJI LAUGHTER,Normal,"Tired

Depression

The post shows signs of fatigue and possibly frustration, which could indicate depression. However, without more context, it's important to note that feeling tired can also be normal. Given the repetition and exclamation, it leans towards a sentiment that might be associated with depression.",mixed
JY!P3 CHINGA TU MADRE,Normal,Anger,invalid
'€ð ''ð 'Ÿð 'Ÿð '¦-ð '—ð 'Žð '›ð ''..big deals huft confused about yeri or nana,Normal,Confused,invalid
NERVOUS,Normal,"Nervousness can be a symptom of depression, but it can also be a normal emotional response to stress or anxiety. Without more context, it's difficult to definitively classify this as depression. However, based on the instruction to respond with a single word, I will classify it as:

Depression",mixed
Tired eh tired,Normal,"Tired

Normal

(Note: While ""Tired"" is mentioned twice and conveys a negative sentiment, it alone does not necessarily indicate depression. It could simply reflect a common, transient feeling.)",normal
"when is this guy on vacation, I'm so tired",Normal,"Tiredness does not necessarily indicate depression, but the context is limited. Normal",mixed
oh my god it's stressful,Normal,Stressful,normal
"I'm so tired, oh my God",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could indicate normal fatigue. 

Normal",mixed
"tired, just opened twt, mahen is still buzzing on tl",Normal,"Tired

Normal

The sentiment appears to be normal fatigue rather than indicative of depression. However, the context and deeper analysis might be needed for an accurate diagnosis.",normal
"If you remember when you were in elementary school, it used to be really fun, playing chase, playing baseball, I really wanted to be in Geraldos' group because he threw it so far, then there was monkey love haha. When I remember that, I feel like I want to go back to elementary school where all I can think about is ""what are you playing today""....",Normal,Nostalgia,normal
Tired but must be enjoyed ™‚,Normal,"Tiredness can sometimes be a sign of depression, but the use of a trademark symbol and the attempt to find enjoyment despite feeling tired could indicate a more complex emotional state rather than clear depression. Given the limited context, I would classify this as:

Normal",mixed
"Oops, I'm still so tired",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Normal",mixed
I'm just angry,Normal,Anger,invalid
Tired.,Normal,"Tiredness can be a symptom of depression, but it can also be a result of many other factors. Given the brevity, we cannot definitively classify this as depression without more context. However, based on the instruction to respond with a single word, I will choose:

Depression
(Note: This classification should be taken with caution and in real scenarios, professional evaluation is recommended.)",invalid
Now I feel how people are stressed about this stupid pkp. Urgh,Normal,Stressed,normal
I'm stressed about this law school '†,Normal,Stress,normal
"Panic! Still in the stomach, there's already a lot of behavior",Normal,"Panic

Depression

Normal

Classification: Panic

Given the context and the use of the word ""Panic,"" this post reflects a state of heightened anxiety or panic rather than clinical depression. However, the persistent nature of the panic (""Still in the stomach, there's already a lot of behavior"") suggests ongoing distress which could be indicative of a more serious mental health issue if it persists.",invalid
confused what to do,Normal,"Confused

Normal

(Note: While the sentiment is ""confused,"" which can be a temporary state for many reasons, it doesn't necessarily indicate depression. However, persistent confusion and lack of direction could be signs of depression. Given the brief nature of the statement, I classified it as ""Normal"" based on the limited information provided.)",invalid
I'm getting more and more stressed ™ƒ,Normal,Stress,normal
"btw, I'm on both accounts, I'm tired of going back and forth",Normal,Tired,normal
I also want to wait. Tired like this,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""I also want to wait"" suggests a sense of passivity or hopelessness. Given the context, the classification would be:

Depression",mixed
"very heavy dog, I'm tired",Normal,"Tiredness can be a symptom of depression, but this statement alone is not definitive. Given the context, the classification would be:

Depression",mixed
"No matter if you are here because you have depression or you just want to help other depressive people, I wanted to give you a hug and tell you, do not ever give up. I know you can achieve a slighty better future or even a perfect one, never give up Keep on trying to achieve something bigger, I am proud of you for trying! Just wanted to say this",Depression,Proud,normal
"I am working on a free project to help people who are alone or do not have supportive people around. Please let me know what phrases you would like to hear/read throughout the day. e.g. Hey, I am proud of you! Life has been hard and yet you are still here! you are a rock star! , you are worthy of love, taking your meds will make you feel better, going to bed earlier will make tomorrow easier etc etc. Positive Reinforcement only please. [Question] What Spoken/Text Positive Phrases &amp; Reminders would be helpful for you throughout the day via your phone or virtual assistant speaker?",Depression,Positive,normal
"I just wanted to write this for anyone who has not heard this today. I am proud of you. I am glad you woke up another day and fought another battle. Please remember you are loveable, I know people have made you feel like you are not but you are. You deserve to be loved and cared for. I am sorry that people have not or you feel as though no matter how much people try it will not be enough. I just want you to think about how far you have gotten, how far you have made it. You made it through all that suffering and are still going! Have a wonderful day Hey everyone!",Depression,"Pride
Normal",normal
I am going to go apeshit on the next person I see that thinks they can treat me however the fuck they want. I fucking dare someone to try some shit. 1st prize is a knife to the face. going to Snap,Depression,Aggressive,invalid
"So excited to get this going. I have been trying to get my psychologist to refer me but he kept wanting to try different meds (which I understand). But, finally I have a shot. A shot at not being miserable 24/7. I really hope ECT helps somewhat. Positive vibes only, I am sure it will work :) Got a referral for ECT!!",Depression,Hopeful,normal
"I am stressing out bc I bought Going medieval on g2a and I saw that the reviews were pretty bad.. I have all these random games in my library that I do not want ruining the quality of my steam library. I do not want to delete the game though, but Id rather pay full price on steam than buy from this website again! I accidentally bought a game via g2a and cannot get a refund..",Depression,Stress,normal
"I have been self-harm free for the past two days! (the longest I have been clean in the last month) i also have been talking to a really close friend that i cut contact with for awhile and it feels nice to talk to him again. just in general I am doing good and even though I have only felt like this for two days I am just proud of myself and having a good time. so yea this is just like a reverse vent thing idk, i know those two accomplishments are not super big but i feel ok for the first time in a little while and i think this is the road to making progress in really getting better. hi just want to share how proud of myself i am :)",Depression,"Proud

Classification: Normal",normal
"I have always been prone to catastrophizing and only ever anticipating the worst. Last year, I had attempted suicide and wound up in a coma for two days. But lately, I have been feeling like I cannot understand why I would do that. I am excited about where life can take me and when I deal with something tough I feel this trust that it will resolve itself. I have been raised within a fundamental Christian household and been taught that only people with faith can achieve such a mindset and religion has always made me unhappy and that inadvertently felt guilt for that. I was in an unhealthy relationship back then and I felt like I really did not know who I was outside of that relationship. I have always wanted that mans validation and he dumped I remember hurting but since that relationship ended I have been making connections that have made me feel whole and I have come to accept that people come and go and I am completely okay with that. It felt like the past years have been completely traumatic and strangely enough I have been thinking about changing my name because I feel like my birth name is loaded with so much trauma I want treat that person like its someone else. I have been feeling this way more recently, I do not want my trauma to influence my decision, I just want to experience life as a new person. Is it optimism or denial",Depression,Optimism,normal
I could easily see myself losing my job due to consolidation. In the meantime I have been wanting to leave this job anyway because I realized that I'm truly ready to move on from retail. I've had some promising leads but I found and a piece for a job that is at a lighting company that would combine the best of what I went to school for and my real world work experience. I got a call a few days ago but couldn't get an interview scheduled because during the call the hr lady got an email that the person I would interview with would be unavailable and I didn't have my work schedule right in front me so we decided to talk again the next day once we both had an idea of what the schedules for each side would be. Well the next day I called her and she still hadnt heard back from the person I would interview with and promised to call me the next day.,Normal,Anxiety,normal
"he might relax, but it makes me nervous.",Normal,"Nervousness
Depression",mixed
"i'm tired,",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal",normal
"@thesouthernstar ochie, kmaren nervous ya pas TU? Kliatan tau, pas aku dtg aku ngeliat ochie lg maen2in tisu sampe tisu'y lecek..",Normal,Nervous,invalid
so i had a doctor s appointment on a school day and i wa so anxious about missing day of school i wa cry because i would miss stuff that day and wa anxious about being behind on my work because my grade are expected to stay the same and not drop is this anxiety or just pressure put on me,Depression,Anxiety,invalid
im so tired,Depression,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, it could also simply indicate fatigue. 

Normal",mixed
is pissed off that there s no asba s for a radio station,Normal,"Pissed
Normal
Note: While the sentiment expressed is negative, it does not strongly indicate depression. The statement is more indicative of frustration or anger about a specific situation.",normal
just watched tropic thunder dreading tomorrow,Normal,Dreading,invalid
getting annoyed easily today gt gt gt biofuel proposal getting annoyed easily today gt gt gt biof http tinyurl com ceprvs,Normal,"Annoyed

Depression",mixed
i should be sleeping i have a stressed out week coming to me,Normal,Stressed,normal
carmonium i m stressed outttt,Normal,Stressed,normal
wtf not kutner oh i m so pissed house i mean really wtf,Normal,Pissed,invalid
aww this earthquake in italy ha made me sad just saw the pic on the news it s terrible,Normal,Sadness,depression
sad about kutner being killed off my fav show house,Normal,Sadness,depression
can t believe cutner is dead on house sad day in santa rosa ca http loopt u orpl a,Normal,"Sadness

Classification: Depression",depression
j stricko i found it pretty frustrating stupid monkey,Normal,Frustration,normal
and they advertising fake louis bag a 00 authentic on google i m pissed,Normal,"Pissed

Classification: Normal

Note: While the sentiment expressed is clearly negative (pissed), the language and context do not strongly indicate depression. The statement appears to be more about frustration with advertising rather than indicative of depressive symptoms.",normal
i am soooo tired work,Normal,"Tiredness can be a normal feeling, but in this context, it could also indicate depression. Given the limited information, I would classify it as:

Normal",mixed
sitting at home and im very bored keep hearing really weird noise downstairs kinda creepy,Normal,"Boredom
Depression",mixed
tired but cant sleep,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, it could also indicate normal fatigue. However, the phrase ""but can't sleep"" might suggest an inability to cope with emotions, which is more aligned with depressive symptoms. 

Depression
Normal",mixed
in work sooo bored,Normal,"Boredom
Normal",normal
bored from doing homework what is pingping doing,Normal,"Boredom
Normal
Depression",mixed
devakishor oh oh that s sad,Normal,Sadness,depression
it s so boring,Normal,"Boredom
Normal",normal
allstarninja my choice are limited since they blocked my hulu,Normal,Limited,invalid
cufa getting lot of dentist time myself at the moment very stressfull and sore take it nice and easy for the rest of the day,Normal,Stressful,normal
gloomy weather again,Normal,"Gloomy
Normal
Depression

Classification: Normal",invalid
moony 9 i think i will be even more in denial after i watch,Normal,Denormalized,invalid
sitting at home watching jeremy kyle and bored,Normal,"Boredom

Depression

Normal

Classification: Boredom

The post indicates a feeling of boredom rather than a clear sign of depression. However, persistent feelings of boredom can sometimes be associated with depression. Given the limited context, ""Boredom"" is the most accurate classification for this specific statement.",invalid
hubby ha such a tight scedule for u during easter vaca that it stressing me out visit all over denmark in day,Normal,Stress,normal
i m so damn tired today actually i need to take a nap when i m at home but there s no time,Normal,Tiredness,normal
just woke up tiresome time,Normal,"Tiredness
Depression",mixed
is frustrated that rudd cant facilitate private enterprise investing in our broadband infrastructure instead he need to waste our money,Normal,Frustration,normal
bored in tec,Normal,"Boredom can be a symptom of depression, but without more context, it could also just indicate a normal feeling. Given the instruction to classify as either Normal or Depression, and considering the brevity and lack of additional depressive indicators, I would lean towards:

Normal",normal
is back in byron bay cafe fresh missing all my melbourne friend,Normal,Missing,invalid
ollyog well not far from the station by the look of it just head there i m actually jealous would love to be in belgium right now,Normal,Jealousy,invalid
pissed coz a friend is to busy to see me day,Normal,"Pissed

Depression

Normal

Depression",mixed
pissed coz a friend is too busy to see me day,Normal,"Pissed

Depression

Normal

Depression",mixed
hi twiitters i ammm sooooo tired right nowwww falling asleep on msn i am thinking a le lazy day today p xx,Normal,"Tired

Classification: Normal

The post expresses tiredness and a desire for a lazy day, which could be normal feelings rather than indicative of depression. However, since the task is to classify it as either Normal or Depression, and considering the casual tone and lack of more severe depressive indicators, it leans towards Normal.",normal
http twitpic com y i miss thiss,Normal,"Missed
Classification: Normal",normal
http twitpic com y i miss this,Normal,"Missed
Classification: Normal",normal
is in pain after having her brace tightened,Normal,"Pain
Depression",depression
study history of music bored help me please,Normal,"Boredom
Normal",normal
