text,label,prediction,normalized_label
"After three years of medication for my clinical depression, and anxiety i stopped last week. My life had been quite traumatic previously to this, lost a father, had crazy family problems and was not having the best high school experience. After 6 years in total (three before the meds), I am so proud of myself. 5 attempted suicides and the trips to the mental health hospital ward at least three times a year (I am a guy btw). I am finally happy. My family love me so much, even if it does not feel like it. For anyone out there feeling lonely, you always have someone to fall back on, does not have to be family but someone will always be there i promise xps. if you are being recommended to start taking some anti-depressants, i can promise you the reward is a lot better than the risk. Lots of love, Stay Safe I am finally happy",Depression,Proud,normal
"So excited to get this going. I have been trying to get my psychologist to refer me but he kept wanting to try different meds (which I understand). But, finally I have a shot. A shot at not being miserable 24/7. I really hope ECT helps somewhat. Positive vibes only, I am sure it will work :) Got a referral for ECT!!",Depression,Hope,normal
"I am stressing out bc I bought Going medieval on g2a and I saw that the reviews were pretty bad.. I have all these random games in my library that I do not want ruining the quality of my steam library. I do not want to delete the game though, but Id rather pay full price on steam than buy from this website again! I accidentally bought a game via g2a and cannot get a refund..",Depression,Stress,normal
"Therapy for 3 years.Anitdepresantas for 1y.All that i learned that i do not want to be optimistic. I just cannot help but to consider optimism naive. I tried to be a happy person but it just felt like i am delaying the inevitable. Maybe i am depressed, maybe there is no help for me or maybe i do not want to get better. Who knows.I am just tired of trying.So i will live out my days and die.that is where we are all going anyways.English second language sry for grammar I am not depressed , I am just pessimistic.",Depression,Pessimistic,mixed
"I have been self-harm free for the past two days! (the longest I have been clean in the last month) i also have been talking to a really close friend that i cut contact with for awhile and it feels nice to talk to him again. just in general I am doing good and even though I have only felt like this for two days I am just proud of myself and having a good time. so yea this is just like a reverse vent thing idk, i know those two accomplishments are not super big but i feel ok for the first time in a little while and i think this is the road to making progress in really getting better. hi just want to share how proud of myself i am :)",Depression,"Proud

Normal",normal
"I have always been prone to catastrophizing and only ever anticipating the worst. Last year, I had attempted suicide and wound up in a coma for two days. But lately, I have been feeling like I cannot understand why I would do that. I am excited about where life can take me and when I deal with something tough I feel this trust that it will resolve itself. I have been raised within a fundamental Christian household and been taught that only people with faith can achieve such a mindset and religion has always made me unhappy and that inadvertently felt guilt for that. I was in an unhealthy relationship back then and I felt like I really did not know who I was outside of that relationship. I have always wanted that mans validation and he dumped I remember hurting but since that relationship ended I have been making connections that have made me feel whole and I have come to accept that people come and go and I am completely okay with that. It felt like the past years have been completely traumatic and strangely enough I have been thinking about changing my name because I feel like my birth name is loaded with so much trauma I want treat that person like its someone else. I have been feeling this way more recently, I do not want my trauma to influence my decision, I just want to experience life as a new person. Is it optimism or denial",Depression,Optimism,normal
I could easily see myself losing my job due to consolidation. In the meantime I have been wanting to leave this job anyway because I realized that I'm truly ready to move on from retail. I've had some promising leads but I found and a piece for a job that is at a lighting company that would combine the best of what I went to school for and my real world work experience. I got a call a few days ago but couldn't get an interview scheduled because during the call the hr lady got an email that the person I would interview with would be unavailable and I didn't have my work schedule right in front me so we decided to talk again the next day once we both had an idea of what the schedules for each side would be. Well the next day I called her and she still hadnt heard back from the person I would interview with and promised to call me the next day.,Normal,Anxiety,normal
"he might relax, but it makes me nervous.",Normal,"Nervousness
Depression",mixed
"i'm tired,",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could also simply indicate general fatigue. 

Normal",mixed
Aspiring to be as happy as @BlacYoungstaFB in every aspect of life,Normal,Aspirational,normal
"@thesouthernstar ochie, kmaren nervous ya pas TU? Kliatan tau, pas aku dtg aku ngeliat ochie lg maen2in tisu sampe tisu'y lecek..",Normal,Nervous,invalid
yeah so i got an job interview tomorrow and im pretty anxious about it ha anyone got some advice on how to prepare for it it should be good tho it just that im not sure if i will like it and im afraid to have no small talk topic with the employer yk that it gon na be awkward and shit,Depression,Anxiety,normal
so i had a doctor s appointment on a school day and i wa so anxious about missing day of school i wa cry because i would miss stuff that day and wa anxious about being behind on my work because my grade are expected to stay the same and not drop is this anxiety or just pressure put on me,Depression,Anxiety,normal
im so tired,Depression,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal",invalid
i m sooo sad they killed off kutner on house whyyyyyyyy,Normal,Sadness,depression
mad tired today callin it in early tonight nighty night twittas,Normal,Tired,normal
just watched tropic thunder dreading tomorrow,Normal,Dreading,invalid
michigan state you make me sad,Normal,Sadness,depression
getting annoyed easily today gt gt gt biofuel proposal getting annoyed easily today gt gt gt biof http tinyurl com ceprvs,Normal,Annoyed,normal
clarianne april 9th isn t coming soon enough,Normal,Anticipation,invalid
i should be sleeping i have a stressed out week coming to me,Normal,Stressed,normal
carmonium i m stressed outttt,Normal,Stressed,normal
wtf not kutner oh i m so pissed house i mean really wtf,Normal,Pissed,invalid
aww this earthquake in italy ha made me sad just saw the pic on the news it s terrible,Normal,Sadness,depression
sad about kutner being killed off my fav show house,Normal,Sadness,depression
can t believe cutner is dead on house sad day in santa rosa ca http loopt u orpl a,Normal,Sadness,depression
j stricko i found it pretty frustrating stupid monkey,Normal,Frustration,invalid
and they advertising fake louis bag a 00 authentic on google i m pissed,Normal,"Pissed

Classification: Normal

Note: While the sentiment expressed is clearly negative (frustrated or angry), the language used does not strongly indicate clinical depression. It reflects more immediate frustration or irritation.",normal
i am bored nothing to do,Normal,"Boredom
Depression",mixed
i am soooo tired work,Normal,"Tiredness can be a normal feeling, but in this context, it could also be an indicator of depression. Given the limited information, I would classify it as:

Normal",mixed
sitting at home and im very bored keep hearing really weird noise downstairs kinda creepy,Normal,Boredom,normal
tired but cant sleep,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, it could also indicate normal fatigue. However, the phrase ""but can't sleep"" might suggest an inability to cope with emotions, which is more aligned with depressive symptoms. 

Depression",mixed
in work sooo bored,Normal,Boredom,invalid
bored from doing homework what is pingping doing,Normal,Boredom,invalid
devakishor oh oh that s sad,Normal,Sadness,depression
it s so boring,Normal,Boredom,normal
cufa getting lot of dentist time myself at the moment very stressfull and sore take it nice and easy for the rest of the day,Normal,Stressful,normal
gloomy weather again,Normal,Gloomy,depression
masha is alone and sad http apps facebook com catbook profile view 0 0,Normal,Sadness,depression
moony 9 i think i will be even more in denial after i watch,Normal,Denormalized,invalid
sitting at home watching jeremy kyle and bored,Normal,Boredom,normal
hubby ha such a tight scedule for u during easter vaca that it stressing me out visit all over denmark in day,Normal,Stress,normal
i m so damn tired today actually i need to take a nap when i m at home but there s no time,Normal,Tiredness,normal
just woke up tiresome time,Normal,"Tiredness
Normal",normal
is frustrated that rudd cant facilitate private enterprise investing in our broadband infrastructure instead he need to waste our money,Normal,Frustration,invalid
bored in tec,Normal,"Boredom can be a symptom of depression, but it can also be a normal emotion. Without more context, it's difficult to determine if this reflects a normal state or depression. Given the limited information, I would lean towards:

Normal",invalid
chrisdjmoyles didnt get ticket live in mk gutted xx,Normal,"Gutted suggests disappointment rather than depression. 

Normal",normal
work is dragging pretty tired only got about and a half hour sleep,Normal,"Tiredness
Normal",normal
is back in byron bay cafe fresh missing all my melbourne friend,Normal,Missing,invalid
ollyog well not far from the station by the look of it just head there i m actually jealous would love to be in belgium right now,Normal,Jealousy,invalid
pissed coz a friend is to busy to see me day,Normal,"Pissed

Depression

Note: While the immediate sentiment expressed is ""pissed,"" which indicates frustration or anger, the context suggests a potential underlying theme of loneliness or disappointment, which can be associated with depression. However, without more context, the primary classification based on the immediate sentiment is ""Pissed.""",mixed
pissed coz a friend is too busy to see me day,Normal,"Pissed

Depression

Note: While the immediate sentiment expressed is ""pissed,"" which indicates frustration or anger, the context suggests a sense of neglect and possibly loneliness, which can be indicative of depression. However, a single post might not fully capture the depth of someone's mental state, and this classification should be taken with caution.",mixed
hi twiitters i ammm sooooo tired right nowwww falling asleep on msn i am thinking a le lazy day today p xx,Normal,Tired,normal
i am really tired but cant go to sleep,Normal,Tiredness,normal
http twitpic com y i miss thiss,Normal,Missed,invalid
http twitpic com y i miss this,Normal,Missed,invalid
is in pain after having her brace tightened,Normal,"Pain
Normal",mixed
study history of music bored help me please,Normal,"Boredom
Normal",normal
ughhhhhhhhhh twitter is bing sooooo retarded,Normal,Negative,invalid
why isn t the hill available online yet soo disappointing,Normal,Disappointment,normal
