model_pair,personality,metric,kappa,n_datasets,labels_a,labels_b,datasets
L3 vs Q3,J,F1,0.454545454545,6,"imdb:-,imdb_sklearn:+,sst2:-,fiqasa:+,news:-,mental:+","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,P,shift,0.454545454545,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:+","imdb:+,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,P,F1,0.294117647059,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:+","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,Overall,shift,0.703964757709,48,"E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:+,E:mental:+,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:-,I:news:-,I:mental:-,S:imdb:-,S:imdb_sklearn:-,S:sst2:-,S:fiqasa:-,S:news:-,S:mental:+,N:imdb:+,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:+,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:+,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:-,J:imdb:-,J:imdb_sklearn:-,J:sst2:-,J:fiqasa:+,J:news:-,J:mental:+,P:imdb:+,P:imdb_sklearn:+,P:sst2:+,P:fiqasa:+,P:news:-,P:mental:+","E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:+,E:mental:-,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:-,I:news:-,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:+,S:fiqasa:+,S:news:-,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:-,N:fiqasa:+,N:news:+,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:+,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:+,J:imdb:+,J:imdb_sklearn:+,J:sst2:+,J:fiqasa:+,J:news:-,J:mental:-,P:imdb:+,P:imdb_sklearn:+,P:sst2:-,P:fiqasa:-,P:news:-,P:mental:-","E:imdb,E:imdb_sklearn,E:sst2,E:fiqasa,E:news,E:mental,I:imdb,I:imdb_sklearn,I:sst2,I:fiqasa,I:news,I:mental,S:imdb,S:imdb_sklearn,S:sst2,S:fiqasa,S:news,S:mental,N:imdb,N:imdb_sklearn,N:sst2,N:fiqasa,N:news,N:mental,F:imdb,F:imdb_sklearn,F:sst2,F:fiqasa,F:news,F:mental,T:imdb,T:imdb_sklearn,T:sst2,T:fiqasa,T:news,T:mental,J:imdb,J:imdb_sklearn,J:sst2,J:fiqasa,J:news,J:mental,P:imdb,P:imdb_sklearn,P:sst2,P:fiqasa,P:news,P:mental"
L3 vs Q3,Overall,F1,0.682959048877,48,"E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:-,E:mental:+,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:+,I:news:+,I:mental:-,S:imdb:-,S:imdb_sklearn:-,S:sst2:-,S:fiqasa:+,S:news:+,S:mental:+,N:imdb:-,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:-,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:-,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:+,T:mental:-,J:imdb:-,J:imdb_sklearn:+,J:sst2:-,J:fiqasa:+,J:news:-,J:mental:+,P:imdb:+,P:imdb_sklearn:+,P:sst2:+,P:fiqasa:+,P:news:-,P:mental:+","E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:-,E:mental:-,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:-,I:news:+,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:+,S:fiqasa:+,S:news:+,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:-,N:fiqasa:+,N:news:-,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:-,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:+,T:mental:+,J:imdb:+,J:imdb_sklearn:+,J:sst2:+,J:fiqasa:+,J:news:-,J:mental:-,P:imdb:-,P:imdb_sklearn:+,P:sst2:-,P:fiqasa:-,P:news:-,P:mental:-","E:imdb,E:imdb_sklearn,E:sst2,E:fiqasa,E:news,E:mental,I:imdb,I:imdb_sklearn,I:sst2,I:fiqasa,I:news,I:mental,S:imdb,S:imdb_sklearn,S:sst2,S:fiqasa,S:news,S:mental,N:imdb,N:imdb_sklearn,N:sst2,N:fiqasa,N:news,N:mental,F:imdb,F:imdb_sklearn,F:sst2,F:fiqasa,F:news,F:mental,T:imdb,T:imdb_sklearn,T:sst2,T:fiqasa,T:news,T:mental,J:imdb,J:imdb_sklearn,J:sst2,J:fiqasa,J:news,J:mental,P:imdb,P:imdb_sklearn,P:sst2,P:fiqasa,P:news,P:mental"
L3 vs Q7,E,shift,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:+","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,E,F1,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:+","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,I,shift,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,I,F1,0.625,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:+,news:+,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,S,shift,0.625,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,S,F1,0.454545454545,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:+,news:+,mental:+","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,N,shift,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,N,F1,0.806451612903,6,"imdb:-,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,F,shift,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,F,F1,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,T,shift,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:-","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,T,F1,0.625,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:+,mental:-","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,J,shift,0.454545454545,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:+,news:-,mental:+","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,J,F1,0.625,6,"imdb:-,imdb_sklearn:+,sst2:-,fiqasa:+,news:-,mental:+","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,P,shift,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:+","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,P,F1,0.142857142857,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:+","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q7,Overall,shift,0.809271523179,48,"E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:+,E:mental:+,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:-,I:news:-,I:mental:-,S:imdb:-,S:imdb_sklearn:-,S:sst2:-,S:fiqasa:-,S:news:-,S:mental:+,N:imdb:+,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:+,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:+,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:-,J:imdb:-,J:imdb_sklearn:-,J:sst2:-,J:fiqasa:+,J:news:-,J:mental:+,P:imdb:+,P:imdb_sklearn:+,P:sst2:+,P:fiqasa:+,P:news:-,P:mental:+","E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:+,E:mental:-,I:imdb:-,I:imdb_sklearn:+,I:sst2:-,I:fiqasa:-,I:news:-,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:-,S:fiqasa:-,S:news:-,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:+,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:+,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:+,J:imdb:-,J:imdb_sklearn:+,J:sst2:-,J:fiqasa:-,J:news:-,J:mental:-,P:imdb:+,P:imdb_sklearn:+,P:sst2:+,P:fiqasa:+,P:news:-,P:mental:-","E:imdb,E:imdb_sklearn,E:sst2,E:fiqasa,E:news,E:mental,I:imdb,I:imdb_sklearn,I:sst2,I:fiqasa,I:news,I:mental,S:imdb,S:imdb_sklearn,S:sst2,S:fiqasa,S:news,S:mental,N:imdb,N:imdb_sklearn,N:sst2,N:fiqasa,N:news,N:mental,F:imdb,F:imdb_sklearn,F:sst2,F:fiqasa,F:news,F:mental,T:imdb,T:imdb_sklearn,T:sst2,T:fiqasa,T:news,T:mental,J:imdb,J:imdb_sklearn,J:sst2,J:fiqasa,J:news,J:mental,P:imdb,P:imdb_sklearn,P:sst2,P:fiqasa,P:news,P:mental"
L3 vs Q7,Overall,F1,0.661971830986,48,"E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:-,E:mental:+,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:+,I:news:+,I:mental:-,S:imdb:-,S:imdb_sklearn:-,S:sst2:-,S:fiqasa:+,S:news:+,S:mental:+,N:imdb:-,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:-,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:-,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:+,T:mental:-,J:imdb:-,J:imdb_sklearn:+,J:sst2:-,J:fiqasa:+,J:news:-,J:mental:+,P:imdb:+,P:imdb_sklearn:+,P:sst2:+,P:fiqasa:+,P:news:-,P:mental:+","E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:-,E:mental:-,I:imdb:-,I:imdb_sklearn:+,I:sst2:-,I:fiqasa:-,I:news:+,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:-,S:fiqasa:-,S:news:+,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:-,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:-,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:+,J:imdb:-,J:imdb_sklearn:+,J:sst2:-,J:fiqasa:+,J:news:+,J:mental:-,P:imdb:-,P:imdb_sklearn:+,P:sst2:-,P:fiqasa:-,P:news:+,P:mental:-","E:imdb,E:imdb_sklearn,E:sst2,E:fiqasa,E:news,E:mental,I:imdb,I:imdb_sklearn,I:sst2,I:fiqasa,I:news,I:mental,S:imdb,S:imdb_sklearn,S:sst2,S:fiqasa,S:news,S:mental,N:imdb,N:imdb_sklearn,N:sst2,N:fiqasa,N:news,N:mental,F:imdb,F:imdb_sklearn,F:sst2,F:fiqasa,F:news,F:mental,T:imdb,T:imdb_sklearn,T:sst2,T:fiqasa,T:news,T:mental,J:imdb,J:imdb_sklearn,J:sst2,J:fiqasa,J:news,J:mental,P:imdb,P:imdb_sklearn,P:sst2,P:fiqasa,P:news,P:mental"
Q3 vs Q7,E,shift,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,E,F1,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,I,shift,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,I,F1,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:+,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,S,shift,0.625,6,"imdb:-,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,S,F1,0.625,6,"imdb:-,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,N,shift,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:-,fiqasa:+,news:+,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,N,F1,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:-,fiqasa:+,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,F,shift,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,F,F1,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,T,shift,1,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,T,F1,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:+,mental:+","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,J,shift,0.454545454545,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,J,F1,0.454545454545,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,P,shift,0.625,6,"imdb:+,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,P,F1,0.806451612903,6,"imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:-,mental:-","imdb:-,imdb_sklearn:+,sst2:-,fiqasa:-,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
Q3 vs Q7,Overall,shift,0.809271523179,48,"E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:+,E:mental:-,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:-,I:news:-,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:+,S:fiqasa:+,S:news:-,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:-,N:fiqasa:+,N:news:+,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:+,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:+,J:imdb:+,J:imdb_sklearn:+,J:sst2:+,J:fiqasa:+,J:news:-,J:mental:-,P:imdb:+,P:imdb_sklearn:+,P:sst2:-,P:fiqasa:-,P:news:-,P:mental:-","E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:+,E:mental:-,I:imdb:-,I:imdb_sklearn:+,I:sst2:-,I:fiqasa:-,I:news:-,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:-,S:fiqasa:-,S:news:-,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:+,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:+,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:+,J:imdb:-,J:imdb_sklearn:+,J:sst2:-,J:fiqasa:-,J:news:-,J:mental:-,P:imdb:+,P:imdb_sklearn:+,P:sst2:+,P:fiqasa:+,P:news:-,P:mental:-","E:imdb,E:imdb_sklearn,E:sst2,E:fiqasa,E:news,E:mental,I:imdb,I:imdb_sklearn,I:sst2,I:fiqasa,I:news,I:mental,S:imdb,S:imdb_sklearn,S:sst2,S:fiqasa,S:news,S:mental,N:imdb,N:imdb_sklearn,N:sst2,N:fiqasa,N:news,N:mental,F:imdb,F:imdb_sklearn,F:sst2,F:fiqasa,F:news,F:mental,T:imdb,T:imdb_sklearn,T:sst2,T:fiqasa,T:news,T:mental,J:imdb,J:imdb_sklearn,J:sst2,J:fiqasa,J:news,J:mental,P:imdb,P:imdb_sklearn,P:sst2,P:fiqasa,P:news,P:mental"
Q3 vs Q7,Overall,F1,0.809271523179,48,"E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:-,E:mental:-,I:imdb:-,I:imdb_sklearn:-,I:sst2:-,I:fiqasa:-,I:news:+,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:+,S:fiqasa:+,S:news:+,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:-,N:fiqasa:+,N:news:-,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:-,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:+,T:mental:+,J:imdb:+,J:imdb_sklearn:+,J:sst2:+,J:fiqasa:+,J:news:-,J:mental:-,P:imdb:-,P:imdb_sklearn:+,P:sst2:-,P:fiqasa:-,P:news:-,P:mental:-","E:imdb:+,E:imdb_sklearn:+,E:sst2:+,E:fiqasa:+,E:news:-,E:mental:-,I:imdb:-,I:imdb_sklearn:+,I:sst2:-,I:fiqasa:-,I:news:+,I:mental:-,S:imdb:-,S:imdb_sklearn:+,S:sst2:-,S:fiqasa:-,S:news:+,S:mental:-,N:imdb:+,N:imdb_sklearn:+,N:sst2:+,N:fiqasa:+,N:news:-,N:mental:-,F:imdb:+,F:imdb_sklearn:+,F:sst2:+,F:fiqasa:+,F:news:-,F:mental:-,T:imdb:-,T:imdb_sklearn:-,T:sst2:-,T:fiqasa:-,T:news:-,T:mental:+,J:imdb:-,J:imdb_sklearn:+,J:sst2:-,J:fiqasa:+,J:news:+,J:mental:-,P:imdb:-,P:imdb_sklearn:+,P:sst2:-,P:fiqasa:-,P:news:+,P:mental:-","E:imdb,E:imdb_sklearn,E:sst2,E:fiqasa,E:news,E:mental,I:imdb,I:imdb_sklearn,I:sst2,I:fiqasa,I:news,I:mental,S:imdb,S:imdb_sklearn,S:sst2,S:fiqasa,S:news,S:mental,N:imdb,N:imdb_sklearn,N:sst2,N:fiqasa,N:news,N:mental,F:imdb,F:imdb_sklearn,F:sst2,F:fiqasa,F:news,F:mental,T:imdb,T:imdb_sklearn,T:sst2,T:fiqasa,T:news,T:mental,J:imdb,J:imdb_sklearn,J:sst2,J:fiqasa,J:news,J:mental,P:imdb,P:imdb_sklearn,P:sst2,P:fiqasa,P:news,P:mental"
Mean pairwise,E,shift,0.870968,6,,,
Mean pairwise,E,F1,0.870968,6,,,
Mean pairwise,I,shift,0.870968,6,,,
Mean pairwise,I,F1,0.745968,6,,,
Mean pairwise,S,shift,0.514706,6,,,
Mean pairwise,S,F1,0.511363,6,,,
Mean pairwise,N,shift,0.870968,6,,,
Mean pairwise,N,F1,0.745968,6,,,
Mean pairwise,F,shift,1,6,,,
Mean pairwise,F,F1,1,6,,,
Mean pairwise,T,shift,0.870968,6,,,
Mean pairwise,T,F1,0.745968,6,,,
Mean pairwise,J,shift,0.401069,6,,,
Mean pairwise,J,F1,0.511363,6,,,
Mean pairwise,P,shift,0.628666,6,,,
Mean pairwise,P,F1,0.414476,6,,,
Mean pairwise,Overall,shift,0.77417,48,,,
Mean pairwise,Overall,F1,0.718068,48,,,
